data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1882430,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Khogyani,0,Kaga,34.2409,70.1827,2,Bakhtar News Agency,National,"On 18-September-2018, 23 Islamic State militants were killed in operations conducted by Afghan Special Forces in the Khogyani, Kot, Nazyan, and Dih Bala districts of Nangarhar province. Several hideouts and weapons were destroyed and 5 rounds of different mines were confiscated in the operations. Fatalities are distributed across 4 events.",6
CON1882432,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization; Military Forces of United States,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Khost,Khost,0,Khost,33.3395,69.9204,3,Khaama Press,National,"On 18-September-2018, it was reported that 47 unidentified armed militants were killed in operations conducted by Afghan and U.S. Forces in Khost and Wardak provinces. Fatalities are distributed across 2 events.",23
CON1882433,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Kot,0,Kot,34.1032,70.4607,2,Bakhtar News Agency,National,"On 18-September-2018, 23 Islamic State militants were killed in operations conducted by Afghan Special Forces in the Khogyani, Kot, Nazyan, and Dih Bala districts of Nangarhar province. Several hideouts and weapons were destroyed and 5 rounds of different mines were confiscated in the operations. Fatalities are distributed across 4 events.",6
CON1882434,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Kandahar,Maywand,0,Maywand,31.7333,65.1333,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 19, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Maywand district, Kandahar province. 3 militants were killed and 4 were injured.",3
CON1882436,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Helmand,Nawa-e Barakzayi,0,Nawa-e Barakzayi,31.3918,64.319,2,Afghan Ministry of Defense in Farsi,National,"As reported on Sep 19, over the previous 24 hours, Afghan military forces conducted ground and air raids against suspected Taliban and/or IS militants in Nawa-e Barakzayi district, Helmand province. 2 militants were killed and 4 were injured.",2
CON1882437,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Nazyan,0,Nazyan,34.0566,70.8261,2,Bakhtar News Agency,National,"On 18-September-2018, 23 Islamic State militants were killed in operations conducted by Afghan Special Forces in the Khogyani, Kot, Nazyan, and Dih Bala districts of Nangarhar province. Several hideouts and weapons were destroyed and 5 rounds of different mines were confiscated in the operations. Fatalities are distributed across 4 events.",6
CON1882438,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Herat,Obe,0,Obe,34.3697,63.1764,2,BBC Monitoring; Herat TV,Subnational,"On 18-September-2018, it was reported that a Taliban commander was wounded in clashes with Afghan Military Forces in the Obe district of Herat province.",0
CON1882439,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Khost,Sabari,0,Yakubi,33.4582,69.995,2,Khaama Press,National,On 18-September-2018. it was reported that 1 unidentified armed militant was killed and another wounded in an operation by Afghan Security Forces in the Sabari district of Khost ptovince. 1 vehicle was destroyed in an airstrike during the operations.,1
CON1882441,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Paktika,Sarobi,0,Sarobi,32.7933,69.0866,2,Khaama Press,National,"On 18-September-2018, it was reported that 3 unidentified militants were killed in clashes with Afghan military Forces in the Sarobi district of Paktika province. 1 rocket launcher and a motorcycle were seized by military forces.",3
CON1882442,2018 September,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization; Military Forces of United States,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Wardak,Saydabad,0,Saydabad,34.0004,68.7135,3,Khaama Press,National,"On 18-September-2018, it was reported that 47 unidentified armed militants were killed in operations conducted by Afghan and U.S. Forces in Khost and Wardak provinces. Fatalities are distributed across 2 events.",24
CON1882444,2018 September,2,Battle-No change of territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Kandahar,Shorabak,0,Shorabak,30.1833,66.1,2,Xinhua General News Service,International,"On 18-September-2018, 16 Taliban militants and 2 Afghan police were killed and 14 militants injured in clashes at several police checkpoints in the Shorabak district of Kandahar province.",18
CON1882448,2018 September,2,Battle-No change of territory,Taliban,0,Islamic State (Afghanistan),0,2,22,Southern Asia,Afghanistan,Kunar,Chapa Dara,0,Chapa Dara,34.949,70.7822,2,Bakhtar News Agency,National,"On 19-September-2018, it was reported that 6 Taliban and Islamic state militants were killed and others wounded in clahes between the 2 groups in the Chapa Dara district of Kunar province.",6
